iteration,time,density,average_speed,flow
1,0.0008486,0.01,4,0.04
2,0.0003985,0.01,4.6666665,0.046666663
3,0.0003011,0.013333333,4.5,0.06
4,0.0005749,0.02,5,0.099999994
5,0.0005763,0.023333333,4.857143,0.11333334
6,0.0005904,0.026666665,4.625,0.12333333
7,0.0009958,0.030000001,4.6666665,0.14
8,0.0009361,0.033333335,4.7,0.15666667
9,0.000781,0.036666665,4.6363635,0.16999999
10,0.0007226,0.04,4.5833335,0.18333334
11,0.0007862,0.043333333,4.769231,0.20666666
12,0.0007962,0.046666667,4.142857,0.19333333
13,0.0009181,0.05,4.4,0.22000001
14,0.0011277,0.05333333,4.75,0.25333333
15,0.0012046,0.05666667,4.529412,0.2566667
16,0.000931,0.060000002,4.7222223,0.28333336
17,0.0009677,0.06333333,4.5789475,0.29000002
18,0.0009654,0.06666667,4.5,0.3
19,0.0010175,0.07,4.5238094,0.31666666
20,0.0017349,0.07333333,4.590909,0.33666664
21,0.0010615,0.07333333,4.409091,0.32333332
22,0.0010905,0.07666667,4.652174,0.35666668
23,0.0011086,0.08,4.7083335,0.37666667
24,0.001207,0.083333336,4.52,0.37666667
25,0.0017387,0.086666666,4.230769,0.36666664
26,0.00129,0.09,4.4074073,0.39666668
27,0.001268,0.093333334,4.464286,0.4166667
28,0.0015537,0.096666664,4.3448277,0.42
29,0.0020908,0.1,3.6666667,0.36666667
30,0.0014175,0.10333333,3.8709676,0.39999998
31,0.0014488,0.10666666,3.53125,0.37666664
32,0.0018303,0.11000001,3.8484848,0.42333335
33,0.0020889,0.11333334,3.9705882,0.45000002
34,0.0016011,0.11666667,3.8285713,0.44666666
35,0.0018651,0.120000005,3.2777777,0.39333335
36,0.0024659,0.123333335,2.945946,0.36333334
37,0.0018523,0.12666667,3.4473684,0.43666667
38,0.0023135,0.13,2.974359,0.38666666
39,0.0022203,0.13333334,2.975,0.39666668
40,0.0020382,0.13666667,3.0243902,0.41333336
41,0.0027041,0.14,2.7142856,0.38
42,0.0021981,0.14333333,3,0.43
43,0.0022235,0.14666666,2.7045455,0.39666665
44,0.0027889,0.14999999,2.9333334,0.44
45,0.0022981,0.15333334,2.9130435,0.4466667
46,0.0030689,0.15666667,2.7659574,0.4333333
47,0.0024629,0.16,2.6875,0.42999998
48,0.0033357,0.16333334,2.6938775,0.44
49,0.0040033,0.16666667,2.66,0.44333336
50,0.00353,0.17,2.862745,0.48666665
51,0.0027779,0.17333333,2.3461537,0.40666664
52,0.0035306,0.17666666,2.1132076,0.37333333
53,0.0036137,0.18,2.5370371,0.4566667
54,0.003367,0.18333334,2.4,0.44000003
55,0.003913,0.18666667,2.8035715,0.5233334
56,0.0033404,0.19,2.3333333,0.4433333
57,0.0041233,0.19333333,2.2586207,0.43666667
58,0.0042283,0.19666666,2.1525424,0.42333332
59,0.0038313,0.2,2,0.4
60,0.004737,0.20333333,2.1639345,0.44
61,0.0046052,0.20666666,2.1290324,0.44000003
62,0.0051885,0.21,1.8412699,0.38666666
63,0.0051259,0.21333332,1.96875,0.42
64,0.0048212,0.21666665,2.0769231,0.45
65,0.0053653,0.22000001,2.3181818,0.51
66,0.0052931,0.22333334,2.074627,0.46333337
67,0.0053409,0.22666667,1.9558823,0.44333333
68,0.0052718,0.23,1.8115942,0.4166667
69,0.0051676,0.23333333,1.8857143,0.44
70,0.0056944,0.23666666,1.9859155,0.47
71,0.0058509,0.24000001,1.7222222,0.41333336
72,0.0057004,0.24333334,1.8630137,0.45333335
73,0.0050826,0.24666667,1.7027028,0.42000002
74,0.0052785,0.25,1.72,0.43
75,0.0056963,0.25333333,1.3947369,0.35333335
76,0.0058784,0.25666666,1.6493506,0.42333332
77,0.005507,0.26,1.4102564,0.36666664
78,0.0055815,0.26333335,1.506329,0.39666668
79,0.0057084,0.26666668,1.3875,0.37000003
80,0.0057279,0.27,1.7777778,0.48000002
81,0.0057703,0.27333334,1.695122,0.46333337
82,0.0060031,0.27666667,1.5421686,0.42666665
83,0.006149,0.28,1.4047619,0.39333335
84,0.0060892,0.28333333,1.5764706,0.44666666
85,0.0062824,0.28666666,1.2674419,0.3633333
86,0.0064587,0.29,1.5517242,0.45000002
87,0.0065078,0.29333332,1.5227273,0.44666663
88,0.0067276,0.29666665,1.3707865,0.40666667
89,0.0067015,0.29999998,1.4111111,0.42333332
90,0.0072675,0.30333334,1.4725275,0.4466667
91,0.0069585,0.30666667,1.1086956,0.34
92,0.0072372,0.31,1.172043,0.3633333
93,0.0074316,0.31333333,1.2340425,0.38666666
94,0.0071888,0.31666666,1,0.31666666
95,0.0078499,0.32,1.4791666,0.4733333
96,0.0079656,0.32333335,1.2474227,0.40333337
97,0.0076847,0.32666668,1.1326531,0.37000003
98,0.0083881,0.33,1.3232323,0.43666667
99,0.0080146,0.33333334,1.27,0.42333335
100,0.0088247,0.33666667,1.019802,0.34333333
101,0.0093123,0.34,1.0882353,0.37
102,0.0088067,0.34333333,1.1359223,0.39
103,0.0094123,0.34666666,0.99038464,0.34333333
104,0.0090355,0.35,1.1142857,0.39
105,0.0117283,0.35333332,1.1886792,0.42
106,0.0124967,0.35666668,1.0841122,0.3866667
107,0.0109332,0.36,1.0185186,0.3666667
108,0.0104712,0.36333334,1.0275229,0.37333333
109,0.0106922,0.36666667,1.2,0.44000003
110,0.0101537,0.37,0.8468468,0.31333333
111,0.0108645,0.37333333,0.98214287,0.36666667
112,0.0114694,0.37666667,1.0265486,0.38666666
113,0.0110943,0.38,0.9736842,0.36999997
114,0.0112196,0.38333333,1.0869565,0.41666666
115,0.0117968,0.38666666,0.8965517,0.34666666
116,0.0119574,0.39,0.94017094,0.36666664
117,0.0119315,0.39333332,0.9661017,0.38
118,0.0116404,0.39666668,0.92436975,0.36666667
119,0.0123374,0.4,0.7,0.28
120,0.01312,0.40333334,1.0082644,0.40666667
121,0.0118643,0.40666667,0.852459,0.34666666
122,0.011813,0.41,1.0731708,0.44000003
123,0.012412,0.41333333,0.7016129,0.29
124,0.0120901,0.41666666,0.92,0.38333333
125,0.0127877,0.42,0.8015873,0.33666664
126,0.0124866,0.42333332,0.79527557,0.33666664
127,0.0127584,0.42666665,0.890625,0.38
128,0.0135655,0.42999998,0.90697676,0.39
129,0.0137135,0.4333333,0.9461538,0.40999997
130,0.0134861,0.43666664,0.79389316,0.34666666
131,0.0143622,0.44000003,0.97727275,0.43000004
132,0.0150862,0.44333336,0.7293233,0.32333335
133,0.0150369,0.4466667,0.7761194,0.3466667
134,0.0163065,0.45000002,0.7185185,0.32333332
135,0.016445,0.45333335,0.7205882,0.32666665
136,0.0159248,0.45666668,0.810219,0.37
137,0.0162474,0.46,0.92753625,0.42666668
138,0.0156379,0.46333334,0.7553957,0.35000002
139,0.0166529,0.46666667,0.85714287,0.4
140,0.0167804,0.47,0.67375886,0.31666666
141,0.0178649,0.47333333,0.7112676,0.33666664
142,0.0190384,0.47666666,0.6853147,0.32666668
143,0.0184373,0.48000002,0.7361111,0.35333335
144,0.0179235,0.48333335,0.7862069,0.38000003
145,0.018191,0.48666668,0.79452056,0.3866667
146,0.0175385,0.49,0.5782313,0.28333333
147,0.0179553,0.49333334,0.7364865,0.36333334
148,0.0185196,0.49666667,0.5704698,0.28333333
