iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,0.18556951,9,9,9,9,3
2,0.2487865,8.666667,8.666667,8,9,6
3,0.31678203,8.888889,8.666667,9,9,9
4,0.3589389,8.666667,8.6,9,8.5,12
5,0.4432629,8.4,8.2,8.2,8.8,15
6,0.5129249,7.388889,7.3333335,6.1666665,8.666667,18
7,0.5925785,5.428571,5.142857,5.5,5.6666665,21
8,0.69564354,4.5416665,5.375,3.6666667,4.714286,24
9,0.9091808,4.962963,5.2,4,6,27
10,1.0051737,3.9333334,3.7,4,4.111111,30
11,1.2131343,3.3636363,3,2.9285715,4.625,33
12,1.360091,3.3888888,3.3076923,3.7692308,3,36
13,1.4564737,2.4871795,2.6666667,2.4,2.4166667,39
14,1.7115275,3.0952382,3.3846154,2.6666667,3.4545455,42
15,1.8767464,3.3333333,3.1111112,3.7142856,3.2307692,45
16,2.1832807,2.6041667,2.2222223,2.5882354,3.1538463,48
17,2.6349394,2.3921568,1.7222222,2.8421052,2.642857,51
18,2.7534258,2.3888888,2.7058823,1.6818181,3.0666666,54
19,3.3817897,2.1754386,1.8571428,1.8571428,3.0666666,57
20,3.6882806,2.3,1.2380953,2.7777777,3.0833333,60
21,3.8273664,1.6507937,1.9090909,1.3157895,1.6818181,63
